Подiя;Дата/час скоєння;Вулиця;Будинок
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);12.06.2015 22:52;Городоцька;62
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);10.06.2015 8:42;Городоцька;7
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.06.2015 21:31;Городоцька;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.06.2015 13:19;Городоцька;155
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.05.2015 10:30;Городоцька;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.05.2015 22:55;Городоцька;219
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.05.2015 18:14;Городоцька;207
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);16.05.2015 1:40;Городоцька;321
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);14.05.2015 17:35;Городоцька;169
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.05.2015 21:30;Городоцька;83
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.05.2015 21:08;Городоцька;112
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.04.2015 19:40;Городоцька;90
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.04.2015 15:00;Городоцька;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.04.2015 6:07;Городоцька;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.03.2015 14:15;Городоцька;101
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.03.2015 22:30;Городоцька;172
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.02.2015 19:30;Городоцька;168
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.02.2015 20:10;Городоцька;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.02.2015 16:35;Городоцька;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.01.2015 17:10;Городоцька;7
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.01.2015 19:08;Городоцька;319
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.06.2015 13:10;Городоцька-Кульпарківська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.03.2015 19:30;Городоцька;123
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.08.2015 21:50;Городоцька;245
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.04.2015 17:35;Городоцька;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.07.2015 10:00;Горської А.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.03.2015 15:40;Горської А.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.06.2015 12:55;Грабовського П.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.09.2015 21:45;Грінченка Б.;1
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.04.2015 19:00;Грінченка Б.;4
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);14.11.2015 12:10;Грузинська;25
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.04.2015 19:15;Грінченка Б.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.06.2015 16:17;Данила Галицького пл.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.03.2015 20:25;Двірцева пл.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.03.2015 23:30;Двірцева пл.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.08.2015 22:00;Вашингтона Дж.;2
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.06.2015 19:30;Ленона Дж.;39
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.07.2015 5:09;Джерельна;30
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.10.2015 2:15;Вашингтона Дж.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);14.10.2015 13:45;Вашингтона Дж.;4
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);10.06.2015 22:30;Вашингтона Дж.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.10.2015 19:35;Дністерська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);12.07.2015 13:00;Дністерська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.04.2015 5:20;Довженка О.;1
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.09.2015 7:40;Дорошенка П.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);10.09.2015 14:40;Дорошенка П.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.09.2015 20:10;Дорошенка П.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);12.08.2015 16:00;Дорошенка П.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.08.2015 21:00;Дорошенка П.;2
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.05.2015 13:45;Дорошенка П.;7
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.04.2015 19:20;Дорошенка П.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.03.2015 23:40;Дорошенка П.;54
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.03.2015 14:00;Дорошенка П.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.05.2015 14:55;Дорошенка П.;8
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.04.2015 19:35;Дорошенка П.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.09.2015 13:25;Дорошенка П.;13
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.07.2015 19:30;Дунайська;32
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.09.2015 18:00;Жасминова;2
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);25.09.2015 18:00;Житомирська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.12.2015 17:13;Жовківська;41
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.07.2015 9:30;Жовківська;15
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);17.03.2015 8:50;Залізняка М.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);08.12.2015 20:06;Замарстинівська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.10.2015 18:50;Замарстинівська;233
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.09.2015 12:47;Замарстинівська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.10.2015 7:40;Замарстинівська;244
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);05.03.2015 21:00;Замарстинівська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);23.04.2015 16:20;Замарстинівська;34
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.02.2015 22:40;Замарстинівська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.10.2015 19:00;Запольської Г.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);19.11.2015 19:50;Зелена;11а
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.09.2015 17:30;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.09.2015 17:40;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.08.2015 10:00;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.08.2015 22:30;Зелена;179
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.08.2015 18:20;Зелена;88
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);18.05.2015 22:45;Зелена;147
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.05.2015 16:20;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.05.2015 15:50;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);29.04.2015 15:25;Зелена;322
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);08.01.2015 15:10;Зелена-Дністерська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.11.2015 22:07;Зелена;1
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.11.2015 20:50;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);08.11.2015 18:35;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.11.2015 13:06;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.10.2015 15:30;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.08.2015 10:24;Зелена;115
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);16.08.2015 23:10;Зелена;109
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.06.2015 12:00;Зелена;115
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);16.05.2015 16:30;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.04.2015 18:30;Зелена;96
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.03.2015 2:55;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.01.2015 0:30;Зелена;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.12.2015 17:08;Золота;42
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.07.2015 16:00;Золота;17
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);21.09.2015 0:10;Зубрівська;25
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.08.2015 10:00;Зубрівська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.11.2015 14:30;Франка І.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.10.2015 11:30;Франка І.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.06.2015 22:20;Івасюка (Брюховичі);8
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.09.2015 11:07;Івасюка (Брюховичі);
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.10.2015 12:05;Княгині Ольги;114
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.06.2015 14:15;Княгині Ольги;114
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.05.2015 16:30;Княгині Ольги;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.08.2015 20:10;Керамічна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.08.2015 13:00;Київська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.05.2015 19:09;Клепарівська;30
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.07.2015 18:15;Клепарівська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);20.01.2015 20:15;Клепарівська;15
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.06.2015 8:45;Княгині Ольги;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.10.2015 20:30;Княгині Ольги;102
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.08.2015 21:36;Княгині Ольги;3
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.07.2015 2:30;Княгині Ольги;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.04.2015 11:40;Княгині Ольги;45
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.04.2015 12:00;Княгині Ольги;3
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.01.2015 18:01;Княгині Ольги;114
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.11.2015 14:00;Княгині Ольги;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.06.2015 19:15;Кобилиці Л.;19
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.12.2015 23:30;Коломийська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.03.2015 17:00;Коновальця Є.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.02.2015 21:00;Коновальця Є.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.06.2015 14:30;Коперника М.;28
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.08.2015 9:10;Коперника М.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.07.2015 20:00;Коперника М.;1
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.06.2015 15:00;Коперника М.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);04.04.2015 18:45;Короленка В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.09.2015 16:40;Левицького К.;80
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);06.08.2015 21:30;Кастелівка;12
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);22.08.2015 13:50;Костюшка Т.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);27.07.2015 15:59;Котляревського І.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.06.2015 20:10;Котлярська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);28.04.2015 10:15;Краківська;1
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);02.03.2015 23:55;Червоної Калини просп.;62
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.06.2015 10:00;Кривоноса М.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);13.09.2015 14:20;Кривоноса М.;6
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.08.2015 0:45;Кривчицька Дорога;2
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.04.2015 12:40;Кривчицька Дорога;33
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);31.03.2015 20:15;Кропивницького М. пл;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);07.07.2015 12:15;Кропивницького М. пл;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.08.2015 17:00;Круп'ярська;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.04.2015 23:50;Куликівська;39
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);26.05.2015 15:50;Куліша П.;11
